participant,group,orientation,region,view size,prefers_dark,n pairs,duration,bg_mean,bg_sd,bg_median,bg_quartile,bg_box_plot,bg_bar_chart,bg_scatter_plot,bg_regression,Wasserstein spearman
P71bf0d9e3cc94,prolific,vertical,Africa,large,false,100,23.1,3,3,3,3,3,3,3,3,0.236012110490726
P79d257922ab7b,prolific,vertical,Europe,large,false,100,6.3,2,2,2,2,1,2,2,2,0.389938372689514
P80f7938134cd28,friends,vertical,North America,large,false,85,8.28333333333333,3,3,3,3,3,3,3,3,0.55962671868087
P88de4eaafac588,prolific,vertical,Africa,large,true,100,10.5,3,3,3,2,3,3,3,3,0.163874316575488
P93a3ba8d6cef9,friends,vertical,North America,large,false,100,5.13333333333333,3,3,3,3,3,3,3,3,0.597721267113065
P96e48f3c307588,friends,horizontal,North America,large,false,95,6.96666666666666,3,3,3,3,3,3,3,3,0.588676416910203
P98f2b133581c48,prolific,vertical,Africa,large,true,100,11.95,3,2,3,3,2,3,2,1,0.360031229452978
P98f7abb83f7f1,self,horizontal,North America,large,false,53,,3,3,3,3,3,3,3,3,0.662245844315769
P127f3573b34b6,friends,horizontal,North America,large,false,95,5.11666666666667,3,3,3,3,3,3,3,3,0.661025958593504
P194df33b3dc728,prolific,vertical,Europe,medium,false,100,25.65,3,3,3,3,3,3,3,3,0.015077342281526
P196a24120c292,friends,horizontal,North America,large,true,95,,3,2,3,2,2,3,2,2,0.577112670494522
P336b2c91ef4bc8,prolific,vertical,Africa,large,false,100,20.4,3,3,3,2,2,3,3,2,0.397348265558769
P336d78d29bb2c,self,vertical,North America,large,false,95,4,2,2,3,1,3,3,3,3,0.709732942441164
P693fcdf1fa33f,friends,vertical,North America,large,false,34,,3,2,3,2,2,2,2,2,0.575507289612011
P742e3f2a4e668,prolific,vertical,Oceania,medium,true,100,10.6,2,2,2,2,2,2,2,2,0.49539721159401
P745a08bbe355f,prolific,vertical,Europe,large,false,100,12,2,2,2,2,2,2,2,2,0.375222037884702
P801d2e6724e93,friends,horizontal,North America,large,false,39,,3,2,3,3,3,3,3,2,0.67427078341153
P820adaa121f89,prolific,vertical,North America,large,false,100,14.6666666666667,1,1,1,1,1,2,1,1,0.251300788036243
P838ab6345e869,prolific,vertical,Africa,large,false,100,5.48333333333334,2,2,3,3,3,2,2,2,0.0141875556068053
P855aff39cd1e,prolific,vertical,Europe,large,true,100,8.48333333333334,3,3,3,1,3,3,2,2,-0.0835232084339205
P861d7bb3d3263,friends,horizontal,Central/South America,large,false,95,213.266666666667,3,3,3,3,3,3,3,3,0.63040902985629
P878af2d8bb50a,friends,horizontal,North America,large,false,95,3.94999999999999,3,3,3,3,3,3,3,3,0.358277335864572
P912aadbf78ab3,prolific,vertical,Africa,large,true,100,17.3333333333333,2,2,2,2,2,2,2,2,0.365572625790109
P921f9e3400506,prolific,vertical,Europe,small,false,100,2.43333333333334,1,1,1,1,1,2,1,2,0
P1506f7342b4b1,prolific,vertical,Europe,large,false,100,13.6666666666667,2,2,2,1,2,2,2,1,0.42611032159302
P4340bd8c04bd2,friends,vertical,Central/South America,large,true,85,28.0333333333333,2,1,2,1,1,2,2,1,0.38099054794072
P6570fbdb22e91,self,horizontal,North America,large,false,94,10.1333333333333,3,3,3,3,3,3,3,3,0.617031416982719
P8822a4bdf0011,prolific,vertical,Africa,large,false,100,6.48333333333334,3,3,3,2,3,3,2,2,0.0709287917768686
P41301aacbf68,prolific,vertical,Africa,large,true,100,8.31666666666669,2,3,3,1,2,3,2,2,-0.0431233490828647
P45909b499d971,prolific,vertical,Africa,large,true,100,19.3333333333333,3,3,3,3,2,3,2,3,0.179499514980495
P90329fd656b8c,prolific,vertical,Europe,small,false,100,6.01666666666666,2,3,2,3,2,3,3,2,0.565709862041908
P234301b00ccd28,prolific,vertical,Europe,large,false,100,10.5166666666667,2,1,2,2,1,2,1,1,0.229818503974117
P954165c7e7e478,friends,vertical,North America,large,false,95,11.8333333333333,3,3,3,3,3,3,3,3,0.712854205129632
P7885063d948b4,prolific,vertical,Europe,large,false,100,19.1,2,3,2,2,1,3,3,3,0.106354159813937
P8861470bef135,friends,horizontal,Europe,large,false,95,,3,3,3,3,3,3,3,3,0.722823399432969
P86401841b32558,self,vertical,North America,large,false,100,5.01666666666666,3,3,3,3,3,3,3,3,0.719394815667647
P71707124670b98,prolific,vertical,Africa,large,false,100,6.56666666666668,3,3,2,2,3,3,3,2,0.213236845338343
Pa0509eda9845c8,self,vertical,North America,large,false,100,4.35000000000001,3,3,3,3,3,3,3,3,0.627570811573371
Pa2fa902f28d4c,prolific,vertical,Africa,large,false,100,20.55,3,2,3,2,3,3,3,2,0.0741238962029165
Pa3dc5e2180a0c8,prolific,vertical,Europe,large,false,100,2,2,3,3,2,3,3,2,3,-0.125951358170552
Pa5d7d4ded8b718,friends,vertical,North America,small,true,95,6.26666666666666,3,3,3,2,2,3,3,3,0.524538014207451
Pa41e5f559455a8,prolific,vertical,Europe,large,true,100,10,3,2,2,3,2,2,1,3,0.359347003727119
Pa8344bf7299b9,prolific,vertical,Asia,large,true,100,21.8833333333334,3,2,3,1,1,3,3,1,0.0784364407774574
Pa246911458179,self,vertical,North America,large,false,48,,3,3,3,3,3,3,3,2,0.580122134903312
Paaeccec4669fd8,prolific,vertical,Africa,medium,false,100,9.58333333333335,3,3,3,3,3,3,3,3,-0.133056068612102
Pab33df363b0ab8,friends,vertical,Europe,small,false,100,9.35000000000002,3,3,3,3,3,3,3,3,0.43988534410696
Pafed68815eecf,prolific,vertical,Africa,large,false,100,11.1333333333333,3,3,3,3,3,3,3,3,0.134102977530637
Pb0fd956ae3632,prolific,vertical,Europe,large,true,100,6.71666666666666,3,3,3,3,2,2,3,3,0.393124967462043
Pb06fce8c8f0d3,prolific,vertical,Africa,small,true,100,5.60000000000001,3,2,3,3,3,3,3,2,-0.00743658961586025
Pb9b102599efe2,friends,vertical,North America,large,false,95,24.5333333333333,2,2,2,2,2,2,2,2,0.624963270776377
Pb6114caf197c68,prolific,vertical,Africa,medium,true,100,26.3833333333333,3,2,3,3,2,3,2,1,0.0994554047417616
Pbc1c0a0d6b8f4,self,vertical,North America,large,false,96,6.14999999999999,3,3,3,3,3,3,3,3,0.660046017961954
Pc00df5e2f60d6,prolific,vertical,Africa,large,false,100,11.55,1,1,2,1,2,2,2,1,0.0787158575693105
Pc62fd6066ce5c8,prolific,vertical,Africa,large,false,100,16.0333333333333,3,3,3,3,3,3,3,3,0.243295730729731
Pc76f868e5481d8,friends,vertical,North America,large,false,100,4.85000000000001,3,3,3,3,3,3,3,3,0.586813257955649
