participant,trial_index,chart category,chart name,has dots,has median,jitter,group,response time (s),rating,location pvalue,spread pvalue,nonnormality pvalue,Kolmogorov-Smirnov distance,Wasserstein distance,Wasserstein spearman
P0a3ce95a23e32,13,Violin,violin plot,0,0,random,prolific,3.191,3,0.986115689048373,0.140913663040618,0.0000000979683386622021,0.36,0.428699551569507,0.203789191731227
P0a3ce95a23e32,14,Box,box plot,0,1,wilkinson,prolific,4.01,1,0.70368791718824,0.706313708169489,0.00759945951533968,0.16,0.182572614107884,0.203789191731227
P0a3ce95a23e32,15,Violin,violin plot with box,0,0,density random,prolific,2.311,2,0.923788522709249,0.581642861142253,0.508094035356641,0.1,0.0744605475040258,0.203789191731227
P0a3ce95a23e32,16,Violin,violin plot with median,0,1,wilkinson,prolific,8.059,3,0.29442032996544,0.00671380335551031,0.0365576867944474,0.24,0.215227882037534,0.203789191731227
P0a3ce95a23e32,17,Box,box plot with dots,1,1,wilkinson,prolific,2.663,1,0.0000537965826086229,0.53775561948738,0.0364158741053828,0.4,0.546091954022989,0.203789191731227
P0a3ce95a23e32,18,Box,box plot with dots,1,1,random,prolific,5.466,2,0.17855895239829,0.0793870906668752,0.0986135262048489,0.24,0.205621181262729,0.203789191731227
P0a3ce95a23e32,19,Violin,violin plot,0,0,beeswarm,prolific,4.713,1,0.649030251902646,0.368251479411294,0.419571402854535,0.12,0.121996007984032,0.203789191731227
P0a3ce95a23e32,20,Violin,violin plot with median,0,1,beeswarm,prolific,1.12,1,0.00159768073159428,0.269106159294538,0.216099811403059,0.3,0.461009345794392,0.203789191731227
P0a3ce95a23e32,21,Dot,dot plot,1,0,density random,prolific,2.423,2,0.365668417276742,0.114560811970789,0.00298218810821269,0.14,0.203066884176183,0.203789191731227
P0a3ce95a23e32,22,Bands,density bands 50-90-99,0,0,density random,prolific,1.617,1,0.0000309132787821298,0.649609566880671,0.243301532885775,0.4,0.615699658703072,0.203789191731227
P0a3ce95a23e32,23,Bands,density bands 50-90-99,0,0,beeswarm,prolific,1.388,1,0.00000000760650054054679,0.624927349284971,0.343528636617893,0.58,0.889896907216494,0.203789191731227
